Date,Counter_El_kWh,Counter_Gas_m3
30/09/2022,15639.6,2359.5
30/10/2022,15758.5,2366.45
30/11/2022,15924.2,2393.85
31/12/2022,16104,2457.63
28/01/2023,16266.6,2479.52
31/01/2023,16289.7,2483.933
04/02/2023,16310.7,2486.805
05/02/2023,16322.7,2488.543
12/02/2023,16364.7,2493.607
19/02/2023,16399.8,2497.489
26/02/2023,16435.4,2498.823
05/03/2023,16475.7,2500.450
12/03/2023,16509.1,2501.981
19/03/2023,16544.4,2503.857
02/04/2023,16609.6,2506.461
17/04/2023,16689.4,2511.317
27/04/2023,16739.7,2513.314
09/05/2023,16790.9,2515.285
04/06/2023,16882.3,2517.864
01/07/2023,16999.3,2522.053
26/07/2023,17105.9,2525.745
24/08/2023,17226.0,2531.500
03/09/2023,17266.0,2533.621
02/10/2023,17375.6,2540.0
09/11/2023,17522.0,2551.227
22/11/2023,348.150,2556.391
26/11/2023,372.527,2558.882
05/12/2023,417.184,2566.865
11/12/2023,446.978,2576.095
18/12/2023,471.766,2579.873
06/01/2024,538.042,2587.595
13/01/2024,576.940,2597.410
20/01/2024,618.224,2606.724
28/01/2024,659.449,2615.703
03/02/2024,691.516,2619.701
17/02/2024,768.386,2627.399
02/03/2024,839.246,2633.721
09/03/2024,870.110,2635.798
28/03/2024,933.797,2639.605
19/04/2024,1016.868,2644.679
26/04/2024,1042.599,2646.340
18/05/2024,1118.111,2650.989
15/06/2024,1220.206,2657.513
22/06/2024,1252.903,2658.801
09/07/2024,1327.015,2662.511
18/07/2024,1361.964,2663.758
14/08/2024,1452.663,2666.190
31/08/2024,1520.163,2668.328
06/09/2024,1542.077,2668.797
14/09/2024,1571.735,2670.023
15/09/2024,1575.437,2670.162
28/09/2024,1624.127,2672.922
02/10/2024,1636.831,2674.038
17/10/2024,1692.913,2677.686
23/10/2024,1717.569,2679.983
29/10/2024,1740.890,2681.999
07/11/2024,1774.905,2685.239
09/11/2024,1784.778,2685.813
12/11/2024,1801.681,2687.352
15/11/2024,1817.758,2691.401
21/11/2024,1848.119,2698.681
28/11/2024,1886.519,2707.537
29/11/2024,1890.328,2709.497
07/12/2024,1931.344,2719.714
11/12/2024,1956.615,2723.680
17/12/2024,1986.421,2732.393
27/12/2024,2033.362,2743.679
03/01/2025,2073.771,2753.823
12/01/2025,2133.980,2765.430
17/01/2025,2150.461,2772.366
29/01/2025,2220.197,2791.877
01/02/2025,2237.830,2794.568
07/02/2025,2268.473,2799.712
10/02/2025,2283.255,2802.962
19/02/2025,2329.711,2815.373
21/02/2025,2341.871,2818.313
24/02/2025,2356.685,2822.869
03/03/2025,2388.161,2828.567
08/03/2025,2408.634,2830.779
17/03/2025,2452.483,2835.223
21/03/2025,2474.719,2837.700
02/04/2025,2532.023,2843.522
04/04/2025,2538.891,2844.209
14/04/2025,2579.000,2847.884
18/04/2025,2598.779,2849.200
23/04/2025,2617.189,2850.405
10/05/2025,2687.222,2857.410
15/05/2025,2709.532,2859.468
29/05/2025,2761.871,2863.194
13/06/2025,2821.257,2867.834
27/06/2025,2875.243,2872.078
09/07/2025,2921.993,2875.244
08/08/2025,3033.277,2883.261
26/08/2025,3100.089,2886.309
09/09/2025,3154.751,2890.616
17/09/2025,3191.705,2894.384
19/09/2025,3197.994,2894.692
22/09/2025,3207.289,2895.347
01/10/2025,3243.759,2898.546
05/10/2025,3262.770,2900.127
15/10/2025,3311.798,2905.905
29/10/2025,3371.356,2913.712
06/11/2025,3404.177,2917.019
12/11/2025,3437.190,2920.574
15/11/2025,3456.267,2922.918
23/11/2025,3502.493,2932.491
06/12/2025,3572.617,2951.734
15/12/2025,3627.857,2962.711
19/12/2025,3647.956,2970.577
27/12/2025,3678.546,2979.859
05/01/2026,3737.195,2994.884
09/01/2026,3758.774,3004.330
17/01/2026,3815.877,3024.141
28/01/2026,3883.588,3049.874
06/02/2026,3940.831,3066.162
19/02/2026,4006.352,3079.751
12/03/2026,4099.664,3093.337
07/04/2026,4213.261,3102.824
16/04/2026,4245.763,3107.191
22/04/2026,4270.053,3109.426
07/05/2026,4333.129,3113.924
18/05/2026,4375.811,3118.031
